Time (s),Stress Level (%)
0.209319,44.576412
0.364618,55.65695
0.527511,47.765175
0.701681,49.483185
0.880661,50.964905
1.078216,44.977715
1.254515,56.08067
1.423881,61.50369
1.596923,55.89606
1.768353,54.97982
1.941953,51.47825
2.111313,46.396633
2.287413,45.43049
2.457699,46.1802
2.639373,43.912376
2.808186,49.517673
2.98338,44.90404
3.154627,52.237595
3.328602,47.002583
3.49787,44.494446
3.674613,49.919388
3.848045,46.486683
4.01961,44.86895
4.191437,25.138151
4.369803,6.3361177
4.541825,6.593091
4.708724,6.5818124
4.882627,3.8420591
5.056691,2.3762436
5.231643,2.1652398
5.40792,1.326473
5.575588,2.0719278
5.746843,1.4657959
5.923016,0.9581859
6.08927,0.9745864
6.274259,0.92421025
6.44665,0.99455285
6.61063,2.2035604
6.786776,2.7066453
6.961103,2.4870982
7.137068,4.279768
7.305073,2.5474465
7.473808,8.789767
7.651397,39.846004
7.82617,41.192978
7.999382,35.90522
8.171653,35.821484
8.342689,31.582874
8.518109,39.95128
8.694154,36.169563
8.860613,37.116207
9.035836,33.935524
9.205506,33.240322
9.381327,32.45166
9.558693,24.880335
9.725456,13.580187
9.900953,16.102003
