Time (s),Stress Level (%)
0.210879,36.18777
0.36102,39.36342
0.528627,39.614048
0.703054,39.957554
0.890453,40.22555
1.07263,22.105232
1.254062,28.356808
1.42353,23.921888
1.595438,21.563099
1.770242,31.325037
1.943628,28.88477
2.114627,40.707195
2.29128,48.91482
2.458818,51.177616
2.638661,18.247406
2.809725,17.451717
2.977393,22.340721
3.15237,18.626541
3.326936,23.475676
3.502719,12.9589615
3.674642,14.463685
3.84482,16.349394
4.019612,29.501842
4.190652,18.821482
4.368589,20.473238
4.540391,14.180077
4.706256,35.117973
4.883855,18.567547
5.056844,22.595165
5.228897,15.471876
5.405553,32.260876
5.577038,28.161573
5.74416,28.676437
5.921172,42.66462
6.098084,34.637177
6.355134,33.57856
6.55539,28.860542
6.737505,33.941044
6.920317,31.652714
7.090746,30.771461
7.260149,41.06516
7.434582,23.465282
7.607694,10.734452
7.75789,33.394764
7.941404,22.159563
8.105959,28.194815
8.284815,20.522884
8.455644,17.024681
8.636983,18.913933
8.797316,24.216663
8.972717,24.188885
9.143841,25.877132
9.32362,19.661358
9.514746,30.171703
9.725196,20.590357
9.896133,15.90558
