Time (s),Stress Level (%)
0.207962,47.660305
0.358651,51.126385
0.527073,51.58953
0.702348,54.2026
0.882359,47.5553
1.077195,49.749508
1.250266,53.432877
1.400074,53.213356
1.571316,57.70606
1.78143,56.74532
1.943249,57.491035
2.115255,49.70911
2.293242,57.626812
2.462348,45.355457
2.637608,42.31271
2.812284,41.394524
2.981049,30.97041
3.15445,44.686684
3.322217,36.680367
3.50184,38.444103
3.677379,46.291206
3.845693,43.656437
4.012508,19.594038
4.186779,34.790936
4.365795,10.101041
4.542876,9.124641
4.711239,3.129552
4.883554,0.70987207
5.057688,0.53019553
5.232279,0.57504046
5.400083,13.070615
5.581185,48.270443
5.743524,34.259884
5.922398,11.576397
6.099313,18.76883
6.26684,23.8675
6.445795,29.970997
6.611195,37.711597
6.785911,41.47775
6.965714,37.486206
7.13474,39.73888
7.303899,37.61385
7.47894,29.958889
7.648261,33.647083
7.797291,33.91365
7.947083,29.302029
8.121285,22.921873
8.301344,26.901945
8.480639,11.076609
8.648655,6.6615047
8.822683,6.084169
8.992758,8.055826
9.164285,3.322543
9.345064,1.414593
9.516124,4.0283923
9.685699,4.723276
9.857001,1.177165
10.028595,3.222957
