Time (s),Stress Level (%)
0.346061,37.31585
1.006706,18.564165
1.204317,24.881353
1.380171,32.458164
1.401525,48.64973
1.601214,54.39
1.621958,52.407913
1.955773,57.69879
2.116292,66.013115
2.949655,42.029984
3.107436,42.170475
3.280956,41.79406
3.461682,42.62387
3.631446,46.37969
3.652812,45.56783
3.847998,46.742786
4.018167,48.174057
4.19583,43.78204
4.366233,32.291054
4.891931,73.49894
5.0596,59.866566
5.232722,46.98163
5.253837,70.550415
5.451846,44.26961
5.473208,34.615917
5.663771,48.325306
5.841535,50.99021
5.862797,40.951817
6.192087,48.57648
6.344356,57.59301
7.019895,49.83633
7.041559,25.335928
7.215286,28.104511
7.236124,31.997261
7.382844,35.03285
7.402901,29.08314
7.559025,18.713997
7.74599,38.988422
7.911171,32.603653
8.085729,31.865585
8.265099,32.807274
8.433552,35.280113
8.606516,28.530619
8.779482,34.098663
8.950192,34.104744
9.78937,46.877815
9.944866,55.473255
