Time (s),Stress Level (%)
1.399051,45.31546
1.570119,53.573574
1.747378,58.402843
1.768364,53.24794
1.945767,48.64947
2.119491,45.42507
2.281519,35.078674
2.448544,28.154758
2.614922,25.638617
2.79796,43.66428
2.987185,40.4313
3.152011,37.51903
3.317376,41.551006
3.483264,10.432915
3.655445,6.645057
3.820943,23.49248
3.988162,11.129054
4.153289,15.433608
4.315596,20.026272
4.485148,7.7385807
4.660699,12.85528
4.818635,14.14512
4.988966,13.244348
5.150884,42.002342
5.32394,49.97385
5.767505,72.93492
6.104006,53.287655
6.295993,45.66873
6.489258,45.136456
6.797027,43.07866
6.99284,50.154793
7.151211,48.089394
7.315895,52.635757
7.488096,49.915695
7.654538,48.428246
7.821247,45.46406
7.990303,50.725155
8.150382,41.82163
8.325403,49.42762
8.638513,50.015026
9.16563,49.56269
9.462015,45.25547
9.626308,42.48676
9.785481,38.79605
9.95312,47.00776
